Location,Year,Age,Sex,Cause,Measure,Value,Lower bound,Upper bound
Europe & Central Asia,2015,Under 5 years,Both,Pneumoconiosis,Percent of total DALYs,0.000004525,2.74E-06,6.76E-06
Europe & Central Asia,2015,Under 5 years,Both,Asthma,Percent of total DALYs,0.00530917,0.00351021,0.007875888
Latin America & Caribbean,2015,Under 5 years,Both,Cirrhosis hepatitis C,Percent of total DALYs,6.48E-06,5.13E-06,8.05E-06
Europe & Central Asia,2015,Under 5 years,Both,Other chronic respiratory diseases,Percent of total DALYs,0.001349462,0.001009093,0.001934093
Middle East & North Africa,2015,Under 5 years,Both,Cirrhosis hepatitis C,Percent of total DALYs,8.33E-06,5.22E-06,1.43E-05
North America,2015,Under 5 years,Both,Cirrhosis hepatitis C,Percent of total DALYs,4.39E-06,3.49E-06,5.31E-06
South Asia,2015,Under 5 years,Both,Cirrhosis hepatitis C,Percent of total DALYs,1.11E-05,8.07E-06,1.60E-05
SubSaharan Africa,2015,Under 5 years,Both,Cirrhosis hepatitis C,Percent of total DALYs,3.55E-06,2.10E-06,5.44E-06
Europe & Central Asia,2015,Under 5 years,Both,Peptic ulcer disease,Percent of total DALYs,5.66E-05,4.58E-05,7.48E-05
Europe & Central Asia,2015,Under 5 years,Both,Gastritis and duodenitis,Percent of total DALYs,0.00060616,0.000383558,0.000916133
Europe & Central Asia,2015,Under 5 years,Both,Appendicitis,Percent of total DALYs,0.000179595,0.000144899,0.000225539
Europe & Central Asia,2015,Under 5 years,Both,Paralytic ileus and intestinal obstruction,Percent of total DALYs,0.000645231,0.00052285,0.000828521
Europe & Central Asia,2015,Under 5 years,Both,"Inguinal, femoral, and abdominal hernia",Percent of total DALYs,0.000125544,8.47E-05,0.000189209
Europe & Central Asia,2015,Under 5 years,Both,Inflammatory bowel disease,Percent of total DALYs,0.000381128,0.000292883,0.00053632
Europe & Central Asia,2015,Under 5 years,Both,Vascular intestinal disorders,Percent of total DALYs,5.67E-05,4.46E-05,7.10E-05
Europe & Central Asia,2015,Under 5 years,Both,Gallbladder and biliary diseases,Percent of total DALYs,4.63E-05,3.08E-05,8.40E-05
Europe & Central Asia,2015,Under 5 years,Both,Pancreatitis,Percent of total DALYs,6.27E-05,4.70E-05,8.41E-05
Europe & Central Asia,2015,Under 5 years,Both,Other digestive diseases,Percent of total DALYs,0.000459517,0.000354854,0.000677109
Europe & Central Asia,2015,Under 5 years,Both,Alzheimer disease and other dementias,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Parkinson disease,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Epilepsy,Percent of total DALYs,0.006403658,0.005178019,0.007852503
Europe & Central Asia,2015,Under 5 years,Both,Multiple sclerosis,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Migraine,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Medication overuse headache,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Motor neuron disease,Percent of total DALYs,0.001424667,0.001158025,0.001804361
Europe & Central Asia,2015,Under 5 years,Both,Other neurological disorders,Percent of total DALYs,0.004014647,0.003547074,0.004592639
Europe & Central Asia,2015,Under 5 years,Both,Schizophrenia,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Alcohol use disorders,Percent of total DALYs,1.48E-05,0.000008382,2.31E-05
Europe & Central Asia,2015,Under 5 years,Both,Drug use disorders,Percent of total DALYs,1.90E-05,1.61E-05,2.27E-05
Europe & Central Asia,2015,Under 5 years,Both,Depressive disorders,Percent of total DALYs,0.000013239,5.87E-06,2.54E-05
Europe & Central Asia,2015,Under 5 years,Both,Bipolar disorder,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Anxiety disorders,Percent of total DALYs,0.000546952,0.000337973,0.000785629
Europe & Central Asia,2015,Under 5 years,Both,Eating disorders,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Autistic spectrum disorders,Percent of total DALYs,0.004922093,0.003281396,0.00691562
Europe & Central Asia,2015,Under 5 years,Both,Conduct disorder,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Other mental and substance use disorders,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Diabetes mellitus,Percent of total DALYs,0.000401173,0.000297523,0.000504216
Europe & Central Asia,2015,Under 5 years,Both,Acute glomerulonephritis,Percent of total DALYs,7.67E-05,0.00005321,9.72E-05
Europe & Central Asia,2015,Under 5 years,Both,Chronic kidney disease,Percent of total DALYs,0.001829808,0.001592587,0.00214547
Europe & Central Asia,2015,Under 5 years,Both,Urinary diseases and male infertility,Percent of total DALYs,0.001160034,0.000878931,0.001402871
Europe & Central Asia,2015,Under 5 years,Both,Gynecological diseases,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Hemoglobinopathies and hemolytic anemias,Percent of total DALYs,0.007520513,0.005550613,0.010652706
Europe & Central Asia,2015,Under 5 years,Both,Rheumatoid arthritis,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Osteoarthritis,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Low back and neck pain,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Gout,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Other musculoskeletal disorders,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Congenital anomalies,Percent of total DALYs,0.198220451,0.169584612,0.219598752
Europe & Central Asia,2015,Under 5 years,Both,Skin and subcutaneous diseases,Percent of total DALYs,0.02423329,0.016642865,0.033202555
Europe & Central Asia,2015,Under 5 years,Both,Sense organ diseases,Percent of total DALYs,0.006993596,0.00473643,0.010033189
Europe & Central Asia,2015,Under 5 years,Both,Oral disorders,Percent of total DALYs,0.000493801,0.000210421,0.00096862
Europe & Central Asia,2015,Under 5 years,Both,Sudden infant death syndrome,Percent of total DALYs,0.013894011,0.012161774,0.01570824
Europe & Central Asia,2015,Under 5 years,Both,Road injuries,Percent of total DALYs,0.009629282,0.007914977,0.01190403
Europe & Central Asia,2015,Under 5 years,Both,Other transport injuries,Percent of total DALYs,0.00075442,0.000619859,0.000961093
Europe & Central Asia,2015,Under 5 years,Both,Falls,Percent of total DALYs,0.00793281,0.006650409,0.009405654
Europe & Central Asia,2015,Under 5 years,Both,Drowning,Percent of total DALYs,0.01059993,0.008955183,0.012747011
Europe & Central Asia,2015,Under 5 years,Both,"Fire, heat, and hot substances",Percent of total DALYs,0.008191774,0.007002557,0.010345395
Europe & Central Asia,2015,Under 5 years,Both,Poisonings,Percent of total DALYs,0.00328507,0.002718406,0.004061677
Europe & Central Asia,2015,Under 5 years,Both,Adverse effects of medical treatment,Percent of total DALYs,0.00405066,0.003075582,0.005089443
Europe & Central Asia,2015,Under 5 years,Both,Animal contact,Percent of total DALYs,0.000413954,0.000358724,0.000485356
Europe & Central Asia,2015,Under 5 years,Both,Foreign body,Percent of total DALYs,0.011320175,0.009348581,0.012830539
Europe & Central Asia,2015,Under 5 years,Both,Other unintentional injuries,Percent of total DALYs,0.002778731,0.002361211,0.003263373
Europe & Central Asia,2015,Under 5 years,Both,Self-harm,Percent of total DALYs,9.67E-06,6.27E-06,1.38E-05
Europe & Central Asia,2015,Under 5 years,Both,Interpersonal violence,Percent of total DALYs,0.003546444,0.003141475,0.004144842
Europe & Central Asia,2015,Under 5 years,Both,Collective violence and legal intervention,Percent of total DALYs,0.001382453,0.000507147,0.002344095
Europe & Central Asia,2015,Under 5 years,Both,Ebola,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Tuberculosis,Percent of total DALYs,0.001093523,0.000889039,0.001777563
Latin America & Caribbean,2015,Under 5 years,Both,Diarrheal diseases,Percent of total DALYs,0.053490993,0.047851342,0.060070003
Latin America & Caribbean,2015,Under 5 years,Both,Intestinal infectious diseases,Percent of total DALYs,0.000187402,0.000100244,0.000328895
Latin America & Caribbean,2015,Under 5 years,Both,Lower respiratory infections,Percent of total DALYs,0.103140531,0.094901128,0.112816814
Latin America & Caribbean,2015,Under 5 years,Both,Upper respiratory infections,Percent of total DALYs,0.001718472,0.00097271,0.002860498
Latin America & Caribbean,2015,Under 5 years,Both,Otitis media,Percent of total DALYs,0.002895845,0.001926661,0.004233157
Latin America & Caribbean,2015,Under 5 years,Both,Meningitis,Percent of total DALYs,0.013902925,0.011630494,0.018125891
Latin America & Caribbean,2015,Under 5 years,Both,Encephalitis,Percent of total DALYs,0.004003499,0.003555126,0.005653452
Latin America & Caribbean,2015,Under 5 years,Both,Diphtheria,Percent of total DALYs,3.97E-05,2.21E-05,0.000075004
Latin America & Caribbean,2015,Under 5 years,Both,Whooping cough,Percent of total DALYs,0.003714562,0.001535511,0.009160692
Latin America & Caribbean,2015,Under 5 years,Both,Tetanus,Percent of total DALYs,0.000375688,0.000244803,0.000640743
Latin America & Caribbean,2015,Under 5 years,Both,Measles,Percent of total DALYs,1.57E-05,9.52E-06,2.92E-05
Latin America & Caribbean,2015,Under 5 years,Both,Varicella and herpes zoster,Percent of total DALYs,0.000632265,0.000450772,0.001097746
Latin America & Caribbean,2015,Under 5 years,Both,Malaria,Percent of total DALYs,0.000401002,0.000225871,0.000655376
Latin America & Caribbean,2015,Under 5 years,Both,Chagas disease,Percent of total DALYs,1.19E-05,1.05E-05,1.35E-05
Latin America & Caribbean,2015,Under 5 years,Both,Leishmaniasis,Percent of total DALYs,0.000396725,0.000299663,0.000520923
Latin America & Caribbean,2015,Under 5 years,Both,African trypanosomiasis,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Schistosomiasis,Percent of total DALYs,1.03E-05,6.15E-06,1.73E-05
Latin America & Caribbean,2015,Under 5 years,Both,Cysticercosis,Percent of total DALYs,1.90E-06,1.25E-06,2.84E-06
Latin America & Caribbean,2015,Under 5 years,Both,Cystic echinococcosis,Percent of total DALYs,1.52E-05,1.07E-05,2.11E-05
Latin America & Caribbean,2015,Under 5 years,Both,Lymphatic filariasis,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Onchocerciasis,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Trachoma,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Dengue,Percent of total DALYs,0.001008404,0.000367215,0.00140135
Latin America & Caribbean,2015,Under 5 years,Both,Yellow fever,Percent of total DALYs,7.94E-05,1.28E-05,0.000263849
Latin America & Caribbean,2015,Under 5 years,Both,Rabies,Percent of total DALYs,1.45E-06,1.07E-06,2.15E-06
Latin America & Caribbean,2015,Under 5 years,Both,Intestinal nematode infections,Percent of total DALYs,0.001377027,0.001030669,0.001862354
Latin America & Caribbean,2015,Under 5 years,Both,Other neglected tropical diseases,Percent of total DALYs,0.003317655,0.002422647,0.00444228
Latin America & Caribbean,2015,Under 5 years,Both,Maternal hemorrhage,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Maternal sepsis and other maternal infections,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Maternal hypertensive disorders,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Maternal obstructed labor and uterine rupture,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Indirect maternal deaths,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Late maternal deaths,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Other maternal disorders,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Neonatal preterm birth complications,Percent of total DALYs,0.155196164,0.142609919,0.167998876
Latin America & Caribbean,2015,Under 5 years,Both,Neonatal encephalopathy due to birth asphyxia and trauma,Percent of total DALYs,0.082390535,0.075021625,0.09091397
Latin America & Caribbean,2015,Under 5 years,Both,Neonatal sepsis and other neonatal infections,Percent of total DALYs,0.077313947,0.064753302,0.098341369
Latin America & Caribbean,2015,Under 5 years,Both,Other neonatal disorders,Percent of total DALYs,0.04942485,0.04227225,0.055870807
Latin America & Caribbean,2015,Under 5 years,Both,Protein-energy malnutrition,Percent of total DALYs,0.023060741,0.020114405,0.028099746
Latin America & Caribbean,2015,Under 5 years,Both,Iodine deficiency,Percent of total DALYs,6.97E-05,3.64E-05,0.000140437
Latin America & Caribbean,2015,Under 5 years,Both,Vitamin A deficiency,Percent of total DALYs,7.55E-05,3.98E-05,0.000124658
Latin America & Caribbean,2015,Under 5 years,Both,Iron-deficiency anemia,Percent of total DALYs,0.030414677,0.020895118,0.042581128
Latin America & Caribbean,2015,Under 5 years,Both,Other nutritional deficiencies,Percent of total DALYs,0.000981294,0.00079885,0.001307829
Latin America & Caribbean,2015,Under 5 years,Both,Sexually transmitted diseases excluding HIV,Percent of total DALYs,0.005887754,0.00321346,0.00973891
Latin America & Caribbean,2015,Under 5 years,Both,Hepatitis,Percent of total DALYs,0.00059985,0.000547659,0.000658818
Latin America & Caribbean,2015,Under 5 years,Both,Leprosy,Percent of total DALYs,7.77E-08,5.11E-08,1.13E-07
Latin America & Caribbean,2015,Under 5 years,Both,Other infectious diseases,Percent of total DALYs,0.004227421,0.00356871,0.00501485
Latin America & Caribbean,2015,Under 5 years,Both,Esophageal cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Stomach cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Liver cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Larynx cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,"Tracheal, bronchus, and lung cancer",Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Breast cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Cervical cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Uterine cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Prostate cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Colon and rectum cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Lip and oral cavity cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Nasopharynx cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Other pharynx cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Gallbladder and biliary tract cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Pancreatic cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Malignant skin melanoma,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Non-melanoma skin cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Ovarian cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Testicular cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Kidney cancer,Percent of total DALYs,0.000780451,0.000712492,0.000860344
Latin America & Caribbean,2015,Under 5 years,Both,Bladder cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Brain and nervous system cancer,Percent of total DALYs,0.00232773,0.002001149,0.002605037
Latin America & Caribbean,2015,Under 5 years,Both,Thyroid cancer,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Mesothelioma,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Hodgkin lymphoma,Percent of total DALYs,0.000109272,9.54E-05,0.000125318
Latin America & Caribbean,2015,Under 5 years,Both,Multiple myeloma,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Leukemia,Percent of total DALYs,0.006308246,0.005718461,0.006936595
Latin America & Caribbean,2015,Under 5 years,Both,Other neoplasms,Percent of total DALYs,0.004126327,0.003767004,0.004804163
Latin America & Caribbean,2015,Under 5 years,Both,Rheumatic heart disease,Percent of total DALYs,0.00023841,0.000196443,0.000298119
Latin America & Caribbean,2015,Under 5 years,Both,Ischemic heart disease,Percent of total DALYs,0.000274809,0.000244417,0.000312506
Latin America & Caribbean,2015,Under 5 years,Both,Cerebrovascular disease,Percent of total DALYs,0.005391761,0.004831607,0.005958077
Latin America & Caribbean,2015,Under 5 years,Both,Hypertensive heart disease,Percent of total DALYs,5.81E-05,5.16E-05,6.67E-05
Latin America & Caribbean,2015,Under 5 years,Both,Cardiomyopathy and myocarditis,Percent of total DALYs,0.004575705,0.004202781,0.005168194
Latin America & Caribbean,2015,Under 5 years,Both,Atrial fibrillation and flutter,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Aortic aneurysm,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Peripheral vascular disease,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Endocarditis,Percent of total DALYs,0.001572254,0.001344097,0.00179323
Latin America & Caribbean,2015,Under 5 years,Both,Other cardiovascular and circulatory diseases,Percent of total DALYs,0.004565869,0.003893981,0.005462778
Latin America & Caribbean,2015,Under 5 years,Both,Chronic obstructive pulmonary disease,Percent of total DALYs,0.002013987,0.001593826,0.002930074
Latin America & Caribbean,2015,Under 5 years,Both,Pneumoconiosis,Percent of total DALYs,2.34E-06,1.46E-06,3.41E-06
Latin America & Caribbean,2015,Under 5 years,Both,Asthma,Percent of total DALYs,0.010820868,0.007853975,0.015136711
Latin America & Caribbean,2015,Under 5 years,Both,Other chronic respiratory diseases,Percent of total DALYs,0.005300254,0.004688704,0.006177972
Latin America & Caribbean,2015,Under 5 years,Both,Peptic ulcer disease,Percent of total DALYs,0.0001171,7.08E-05,0.000265873
Latin America & Caribbean,2015,Under 5 years,Both,Gastritis and duodenitis,Percent of total DALYs,0.000150816,0.00011934,0.000195657
Latin America & Caribbean,2015,Under 5 years,Both,Appendicitis,Percent of total DALYs,0.000458392,0.000353973,0.000667227
Latin America & Caribbean,2015,Under 5 years,Both,Paralytic ileus and intestinal obstruction,Percent of total DALYs,0.001565222,0.001271727,0.002137006
Latin America & Caribbean,2015,Under 5 years,Both,"Inguinal, femoral, and abdominal hernia",Percent of total DALYs,0.000299243,0.000200845,0.000446592
Latin America & Caribbean,2015,Under 5 years,Both,Inflammatory bowel disease,Percent of total DALYs,0.000225141,0.000171507,0.000359364
Latin America & Caribbean,2015,Under 5 years,Both,Vascular intestinal disorders,Percent of total DALYs,8.23E-05,6.84E-05,9.82E-05
Latin America & Caribbean,2015,Under 5 years,Both,Gallbladder and biliary diseases,Percent of total DALYs,0.000102733,8.14E-05,0.000155783
Latin America & Caribbean,2015,Under 5 years,Both,Pancreatitis,Percent of total DALYs,9.77E-05,0.000077207,0.000142413
Latin America & Caribbean,2015,Under 5 years,Both,Other digestive diseases,Percent of total DALYs,0.000927245,0.000755835,0.001212432
Latin America & Caribbean,2015,Under 5 years,Both,Alzheimer disease and other dementias,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Parkinson disease,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Epilepsy,Percent of total DALYs,0.004597454,0.00369258,0.005606644
Latin America & Caribbean,2015,Under 5 years,Both,Multiple sclerosis,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Migraine,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Medication overuse headache,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Motor neuron disease,Percent of total DALYs,0.000242603,0.000220918,0.000269717
Latin America & Caribbean,2015,Under 5 years,Both,Other neurological disorders,Percent of total DALYs,0.001331985,0.001230424,0.001442488
Latin America & Caribbean,2015,Under 5 years,Both,Schizophrenia,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Alcohol use disorders,Percent of total DALYs,7.91E-06,3.80E-06,1.35E-05
Latin America & Caribbean,2015,Under 5 years,Both,Drug use disorders,Percent of total DALYs,1.95E-05,1.78E-05,2.14E-05
Latin America & Caribbean,2015,Under 5 years,Both,Depressive disorders,Percent of total DALYs,6.82E-06,2.98E-06,1.28E-05
Latin America & Caribbean,2015,Under 5 years,Both,Bipolar disorder,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Anxiety disorders,Percent of total DALYs,0.000339419,0.000209397,0.000493743
Latin America & Caribbean,2015,Under 5 years,Both,Eating disorders,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Autistic spectrum disorders,Percent of total DALYs,0.002849729,0.001914934,0.003975883
Latin America & Caribbean,2015,Under 5 years,Both,Conduct disorder,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Other mental and substance use disorders,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Diabetes mellitus,Percent of total DALYs,0.000637505,0.000580747,0.000693203
Latin America & Caribbean,2015,Under 5 years,Both,Acute glomerulonephritis,Percent of total DALYs,5.44E-05,4.68E-05,7.55E-05
Latin America & Caribbean,2015,Under 5 years,Both,Chronic kidney disease,Percent of total DALYs,0.003351521,0.003083822,0.003787843
Latin America & Caribbean,2015,Under 5 years,Both,Urinary diseases and male infertility,Percent of total DALYs,0.002810407,0.00248796,0.003227044
Latin America & Caribbean,2015,Under 5 years,Both,Gynecological diseases,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Hemoglobinopathies and hemolytic anemias,Percent of total DALYs,0.002993667,0.002427434,0.003684186
Latin America & Caribbean,2015,Under 5 years,Both,Rheumatoid arthritis,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Osteoarthritis,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Low back and neck pain,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Gout,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Other musculoskeletal disorders,Percent of total DALYs,0,0,0
Latin America & Caribbean,2015,Under 5 years,Both,Congenital anomalies,Percent of total DALYs,0.182746759,0.152680322,0.197018783
Latin America & Caribbean,2015,Under 5 years,Both,Skin and subcutaneous diseases,Percent of total DALYs,0.020963351,0.014856809,0.028492559
Latin America & Caribbean,2015,Under 5 years,Both,Sense organ diseases,Percent of total DALYs,0.005233088,0.003509745,0.007443731
Latin America & Caribbean,2015,Under 5 years,Both,Oral disorders,Percent of total DALYs,0.00029615,0.000131523,0.000585441
Latin America & Caribbean,2015,Under 5 years,Both,Sudden infant death syndrome,Percent of total DALYs,0.005492531,0.00491202,0.00616599
Latin America & Caribbean,2015,Under 5 years,Both,Road injuries,Percent of total DALYs,0.013720151,0.0122578,0.015518514
Latin America & Caribbean,2015,Under 5 years,Both,Other transport injuries,Percent of total DALYs,0.001004812,0.000800079,0.001396785
Latin America & Caribbean,2015,Under 5 years,Both,Falls,Percent of total DALYs,0.002863476,0.002485793,0.003318469
Latin America & Caribbean,2015,Under 5 years,Both,Drowning,Percent of total DALYs,0.008935391,0.007854842,0.010648152
Latin America & Caribbean,2015,Under 5 years,Both,"Fire, heat, and hot substances",Percent of total DALYs,0.003936949,0.003455288,0.00495644
Latin America & Caribbean,2015,Under 5 years,Both,Poisonings,Percent of total DALYs,0.002207772,0.001504624,0.003873336
Latin America & Caribbean,2015,Under 5 years,Both,Adverse effects of medical treatment,Percent of total DALYs,0.004664087,0.003898272,0.005835499
Latin America & Caribbean,2015,Under 5 years,Both,Animal contact,Percent of total DALYs,0.00085676,0.000770447,0.000968991
Latin America & Caribbean,2015,Under 5 years,Both,Foreign body,Percent of total DALYs,0.021338255,0.01725293,0.024032111
Latin America & Caribbean,2015,Under 5 years,Both,Other unintentional injuries,Percent of total DALYs,0.001799683,0.001631146,0.001982831
Latin America & Caribbean,2015,Under 5 years,Both,Self-harm,Percent of total DALYs,4.31E-06,2.70E-06,6.22E-06
Latin America & Caribbean,2015,Under 5 years,Both,Interpersonal violence,Percent of total DALYs,0.006910643,0.006083276,0.007886619
Latin America & Caribbean,2015,Under 5 years,Both,Collective violence and legal intervention,Percent of total DALYs,1.00E-06,4.02E-07,2.25E-06
Latin America & Caribbean,2015,Under 5 years,Both,Ebola,Percent of total DALYs,0,0,0
Middle East & North Africa,2015,Under 5 years,Both,Tuberculosis,Percent of total DALYs,0.000703569,0.000497133,0.000978512
Middle East & North Africa,2015,Under 5 years,Both,Diarrheal diseases,Percent of total DALYs,0.04832977,0.039758254,0.057670352
Middle East & North Africa,2015,Under 5 years,Both,Intestinal infectious diseases,Percent of total DALYs,0.001483704,0.000745384,0.002714677
Middle East & North Africa,2015,Under 5 years,Both,Lower respiratory infections,Percent of total DALYs,0.086790028,0.075502455,0.099504599
Middle East & North Africa,2015,Under 5 years,Both,Upper respiratory infections,Percent of total DALYs,0.001201372,0.000680984,0.002062313
Middle East & North Africa,2015,Under 5 years,Both,Otitis media,Percent of total DALYs,0.00205133,0.001332422,0.00305943
Middle East & North Africa,2015,Under 5 years,Both,Meningitis,Percent of total DALYs,0.010686235,0.008278699,0.01416367
Middle East & North Africa,2015,Under 5 years,Both,Encephalitis,Percent of total DALYs,0.004373549,0.003680974,0.005321126
Middle East & North Africa,2015,Under 5 years,Both,Diphtheria,Percent of total DALYs,3.32E-05,1.27E-05,7.59E-05
Middle East & North Africa,2015,Under 5 years,Both,Whooping cough,Percent of total DALYs,0.005389299,0.001087384,0.016094463
Middle East & North Africa,2015,Under 5 years,Both,Tetanus,Percent of total DALYs,0.000407567,0.000294068,0.000561638
Middle East & North Africa,2015,Under 5 years,Both,Measles,Percent of total DALYs,0.004652609,0.000966155,0.016218306
Middle East & North Africa,2015,Under 5 years,Both,Varicella and herpes zoster,Percent of total DALYs,0.000296812,0.000131809,0.00064145
Middle East & North Africa,2015,Under 5 years,Both,Malaria,Percent of total DALYs,0.000183637,8.25E-05,0.000373765
Middle East & North Africa,2015,Under 5 years,Both,Chagas disease,Percent of total DALYs,7.77E-12,4.11E-12,1.31E-11
Middle East & North Africa,2015,Under 5 years,Both,Leishmaniasis,Percent of total DALYs,0.000661754,0.000462655,0.000943359
Middle East & North Africa,2015,Under 5 years,Both,African trypanosomiasis,Percent of total DALYs,0,0,0
Middle East & North Africa,2015,Under 5 years,Both,Schistosomiasis,Percent of total DALYs,3.70E-05,1.61E-05,7.86E-05
Middle East & North Africa,2015,Under 5 years,Both,Cysticercosis,Percent of total DALYs,4.26E-08,2.08E-08,7.57E-08
Middle East & North Africa,2015,Under 5 years,Both,Cystic echinococcosis,Percent of total DALYs,1.38E-05,1.08E-05,1.77E-05
Middle East & North Africa,2015,Under 5 years,Both,Lymphatic filariasis,Percent of total DALYs,0,0,0
Middle East & North Africa,2015,Under 5 years,Both,Onchocerciasis,Percent of total DALYs,0,0,0
Middle East & North Africa,2015,Under 5 years,Both,Trachoma,Percent of total DALYs,0,0,0
Middle East & North Africa,2015,Under 5 years,Both,Dengue,Percent of total DALYs,1.31E-05,9.02E-06,1.94E-05
Middle East & North Africa,2015,Under 5 years,Both,Yellow fever,Percent of total DALYs,0,0,0
Middle East & North Africa,2015,Under 5 years,Both,Rabies,Percent of total DALYs,2.14E-05,1.18E-05,3.80E-05
