Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
East Asia & Pacific - WB,2015,50-69 years,Both,Varicella and herpes zoster,Percent of total DALYs,0.000171219,0.000115158,0.000241759
East Asia & Pacific - WB,2015,50-69 years,Both,Malaria,Percent of total DALYs,0.000468873,0.000336574,0.000668319
East Asia & Pacific - WB,2015,50-69 years,Both,Chagas disease,Percent of total DALYs,1.63E-07,1.09E-07,2.26E-07
East Asia & Pacific - WB,2015,50-69 years,Both,Leishmaniasis,Percent of total DALYs,6.38698E-06,4.34969E-06,9.39471E-06
East Asia & Pacific - WB,2015,50-69 years,Both,African trypanosomiasis,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,50-69 years,Both,Schistosomiasis,Percent of total DALYs,7.96053E-05,5.61861E-05,0.000123674
East Asia & Pacific - WB,2015,50-69 years,Both,Cysticercosis,Percent of total DALYs,4.23116E-05,2.97544E-05,5.90507E-05
East Asia & Pacific - WB,2015,50-69 years,Both,Cystic echinococcosis,Percent of total DALYs,6.41796E-05,5.11955E-05,7.89251E-05
East Asia & Pacific - WB,2015,50-69 years,Both,Lymphatic filariasis,Percent of total DALYs,0.000485468,0.000278997,0.000753883
East Asia & Pacific - WB,2015,50-69 years,Both,Onchocerciasis,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,50-69 years,Both,Trachoma,Percent of total DALYs,7.88603E-05,5.41509E-05,0.000110575
East Asia & Pacific - WB,2015,50-69 years,Both,Dengue,Percent of total DALYs,0.0004275,0.000246373,0.00098441
East Asia & Pacific - WB,2015,50-69 years,Both,Yellow fever,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,50-69 years,Both,Rabies,Percent of total DALYs,8.91129E-05,7.09054E-05,0.000111077
East Asia & Pacific - WB,2015,50-69 years,Both,Intestinal nematode infections,Percent of total DALYs,0.00086543,0.000513686,0.001342662
East Asia & Pacific - WB,2015,50-69 years,Both,Food-borne trematodiases,Percent of total DALYs,0.00170151,0.00082276,0.003151159
East Asia & Pacific - WB,2015,50-69 years,Both,Other neglected tropical diseases,Percent of total DALYs,0.000158573,0.000118785,0.000250515
East Asia & Pacific - WB,2015,50-69 years,Both,Maternal hemorrhage,Percent of total DALYs,3.35394E-06,1.85638E-06,6.09647E-06
East Asia & Pacific - WB,2015,50-69 years,Both,Maternal sepsis and other maternal infections,Percent of total DALYs,3.10661E-06,2.22685E-06,4.41772E-06
East Asia & Pacific - WB,2015,50-69 years,Both,Maternal hypertensive disorders,Percent of total DALYs,1.91131E-06,9.64E-07,3.86037E-06
East Asia & Pacific - WB,2015,50-69 years,Both,Maternal obstructed labor and uterine rupture,Percent of total DALYs,5.00E-07,3.11E-07,7.79E-07
East Asia & Pacific - WB,2015,50-69 years,Both,"Maternal abortion, miscarriage, and ectopic pregnancy",Percent of total DALYs,5.32013E-06,2.77381E-06,1.04475E-05
East Asia & Pacific - WB,2015,50-69 years,Both,Indirect maternal deaths,Percent of total DALYs,5.87E-07,3.44E-07,9.94E-07
East Asia & Pacific - WB,2015,50-69 years,Both,Late maternal deaths,Percent of total DALYs,2.81E-07,1.47E-07,5.41E-07
East Asia & Pacific - WB,2015,50-69 years,Both,Other maternal disorders,Percent of total DALYs,5.71656E-06,3.20611E-06,0.000010084
East Asia & Pacific - WB,2015,50-69 years,Both,Neonatal preterm birth complications,Percent of total DALYs,0.001146402,0.000904894,0.001436228
East Asia & Pacific - WB,2015,50-69 years,Both,Neonatal encephalopathy due to birth asphyxia and trauma,Percent of total DALYs,0.00042777,0.000283098,0.000632243
East Asia & Pacific - WB,2015,50-69 years,Both,Neonatal sepsis and other neonatal infections,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,50-69 years,Both,Hemolytic disease and other neonatal jaundice,Percent of total DALYs,9.94456E-05,7.67588E-05,0.000124186
East Asia & Pacific - WB,2015,50-69 years,Both,Other neonatal disorders,Percent of total DALYs,0.000203145,0.00014538,0.000267197
East Asia & Pacific - WB,2015,50-69 years,Both,Protein-energy malnutrition,Percent of total DALYs,0.00049372,0.000412574,0.000589645
East Asia & Pacific - WB,2015,50-69 years,Both,Iodine deficiency,Percent of total DALYs,0.00044077,0.000289041,0.000641103
East Asia & Pacific - WB,2015,50-69 years,Both,Vitamin A deficiency,Percent of total DALYs,3.14332E-05,1.88815E-05,4.72166E-05
East Asia & Pacific - WB,2015,50-69 years,Both,Iron-deficiency anemia,Percent of total DALYs,0.004187593,0.002967342,0.005777676
East Asia & Pacific - WB,2015,50-69 years,Both,Other nutritional deficiencies,Percent of total DALYs,0.000082547,0.000067108,0.000102157
East Asia & Pacific - WB,2015,50-69 years,Both,Sexually transmitted diseases excluding HIV,Percent of total DALYs,0.000250049,0.000153898,0.000436768
East Asia & Pacific - WB,2015,50-69 years,Both,Hepatitis,Percent of total DALYs,0.001331384,0.001199858,0.001470927
East Asia & Pacific - WB,2015,50-69 years,Both,Leprosy,Percent of total DALYs,1.35767E-05,9.74129E-06,1.78977E-05
East Asia & Pacific - WB,2015,50-69 years,Both,Other infectious diseases,Percent of total DALYs,0.000595234,0.000492786,0.000675269
East Asia & Pacific - WB,2015,50-69 years,Both,Esophageal cancer,Percent of total DALYs,0.015990942,0.014108691,0.018001254
East Asia & Pacific - WB,2015,50-69 years,Both,Stomach cancer,Percent of total DALYs,0.027360467,0.024561202,0.030025686
East Asia & Pacific - WB,2015,50-69 years,Both,Liver cancer,Percent of total DALYs,0.038526734,0.033889038,0.043625655
East Asia & Pacific - WB,2015,50-69 years,Both,Larynx cancer,Percent of total DALYs,0.002000546,0.001818896,0.002185959
East Asia & Pacific - WB,2015,50-69 years,Both,"Tracheal, bronchus, and lung cancer",Percent of total DALYs,0.050849857,0.04571308,0.056280884
East Asia & Pacific - WB,2015,50-69 years,Both,Breast cancer,Percent of total DALYs,0.011358266,0.009928193,0.012510509
East Asia & Pacific - WB,2015,50-69 years,Both,Cervical cancer,Percent of total DALYs,0.004857237,0.004318654,0.005453596
East Asia & Pacific - WB,2015,50-69 years,Both,Uterine cancer,Percent of total DALYs,0.002022339,0.001827909,0.002244842
East Asia & Pacific - WB,2015,50-69 years,Both,Prostate cancer,Percent of total DALYs,0.00267209,0.002177988,0.003272907
East Asia & Pacific - WB,2015,50-69 years,Both,Colon and rectum cancer,Percent of total DALYs,0.016657413,0.015199368,0.01819536
East Asia & Pacific - WB,2015,50-69 years,Both,Lip and oral cavity cancer,Percent of total DALYs,0.00281356,0.002557296,0.003076359
East Asia & Pacific - WB,2015,50-69 years,Both,Nasopharynx cancer,Percent of total DALYs,0.002945372,0.002243418,0.003337768
East Asia & Pacific - WB,2015,50-69 years,Both,Other pharynx cancer,Percent of total DALYs,0.001117311,0.000979181,0.001260113
East Asia & Pacific - WB,2015,50-69 years,Both,Gallbladder and biliary tract cancer,Percent of total DALYs,0.002701451,0.002386534,0.003008022
East Asia & Pacific - WB,2015,50-69 years,Both,Pancreatic cancer,Percent of total DALYs,0.008013571,0.007152422,0.00878033
East Asia & Pacific - WB,2015,50-69 years,Both,Malignant skin melanoma,Percent of total DALYs,0.000658524,0.000545389,0.000754016
East Asia & Pacific - WB,2015,50-69 years,Both,Non-melanoma skin cancer,Percent of total DALYs,0.001048481,0.000953003,0.001145837
East Asia & Pacific - WB,2015,50-69 years,Both,Ovarian cancer,Percent of total DALYs,0.003047362,0.00270355,0.003401245
East Asia & Pacific - WB,2015,50-69 years,Both,Testicular cancer,Percent of total DALYs,5.99332E-05,0.000051054,7.02703E-05
East Asia & Pacific - WB,2015,50-69 years,Both,Kidney cancer,Percent of total DALYs,0.002058036,0.00185957,0.002240245
East Asia & Pacific - WB,2015,50-69 years,Both,Bladder cancer,Percent of total DALYs,0.002019785,0.001855513,0.00219239
East Asia & Pacific - WB,2015,50-69 years,Both,Brain and nervous system cancer,Percent of total DALYs,0.005018226,0.004391591,0.005883751
East Asia & Pacific - WB,2015,50-69 years,Both,Thyroid cancer,Percent of total DALYs,0.000851951,0.000709189,0.000922327
East Asia & Pacific - WB,2015,50-69 years,Both,Mesothelioma,Percent of total DALYs,0.000559721,0.000503019,0.00062364
East Asia & Pacific - WB,2015,50-69 years,Both,Hodgkin lymphoma,Percent of total DALYs,0.000413603,0.000352003,0.000547344
East Asia & Pacific - WB,2015,50-69 years,Both,Non-Hodgkin lymphoma,Percent of total DALYs,0.004200457,0.003345899,0.004777064
East Asia & Pacific - WB,2015,50-69 years,Both,Multiple myeloma,Percent of total DALYs,0.001386108,0.001241401,0.001526627
East Asia & Pacific - WB,2015,50-69 years,Both,Leukemia,Percent of total DALYs,0.005466001,0.004920295,0.00594961
East Asia & Pacific - WB,2015,50-69 years,Both,Other neoplasms,Percent of total DALYs,0.006767261,0.005695574,0.007564327
East Asia & Pacific - WB,2015,50-69 years,Both,Rheumatic heart disease,Percent of total DALYs,0.00486209,0.004436239,0.005349274
East Asia & Pacific - WB,2015,50-69 years,Both,Ischemic heart disease,Percent of total DALYs,0.091717864,0.083965059,0.099507497
East Asia & Pacific - WB,2015,50-69 years,Both,Cerebrovascular disease,Percent of total DALYs,0.120320517,0.10911658,0.131188882
East Asia & Pacific - WB,2015,50-69 years,Both,Hypertensive heart disease,Percent of total DALYs,0.011810668,0.010574727,0.013137274
East Asia & Pacific - WB,2015,50-69 years,Both,Cardiomyopathy and myocarditis,Percent of total DALYs,0.002197831,0.001939834,0.002530912
East Asia & Pacific - WB,2015,50-69 years,Both,Atrial fibrillation and flutter,Percent of total DALYs,0.002236318,0.001718542,0.002858379
East Asia & Pacific - WB,2015,50-69 years,Both,Aortic aneurysm,Percent of total DALYs,0.001494004,0.001318104,0.001657589
East Asia & Pacific - WB,2015,50-69 years,Both,Peripheral vascular disease,Percent of total DALYs,0.000558248,0.000319475,0.000911123
East Asia & Pacific - WB,2015,50-69 years,Both,Endocarditis,Percent of total DALYs,0.000713743,0.000582358,0.000872968
East Asia & Pacific - WB,2015,50-69 years,Both,Other cardiovascular and circulatory diseases,Percent of total DALYs,0.008938126,0.0080303,0.009926331
East Asia & Pacific - WB,2015,50-69 years,Both,Chronic obstructive pulmonary disease,Percent of total DALYs,0.040448559,0.036472077,0.044452658
East Asia & Pacific - WB,2015,50-69 years,Both,Pneumoconiosis,Percent of total DALYs,0.000882661,0.000767693,0.001021057
East Asia & Pacific - WB,2015,50-69 years,Both,Asthma,Percent of total DALYs,0.008545894,0.007456349,0.009775102
East Asia & Pacific - WB,2015,50-69 years,Both,Interstitial lung disease and pulmonary sarcoidosis,Percent of total DALYs,0.001060059,0.000911261,0.001186854
East Asia & Pacific - WB,2015,50-69 years,Both,Other chronic respiratory diseases,Percent of total DALYs,0.001074057,0.00080239,0.001356511
East Asia & Pacific - WB,2015,50-69 years,Both,Cirrhosis and other chronic liver diseases due to hepatitis B,Percent of total DALYs,0.009593219,0.008255342,0.011149737
East Asia & Pacific - WB,2015,50-69 years,Both,Cirrhosis and other chronic liver diseases due to hepatitis C,Percent of total DALYs,0.004269856,0.003546977,0.005151067
East Asia & Pacific - WB,2015,50-69 years,Both,Cirrhosis and other chronic liver diseases due to alcohol use,Percent of total DALYs,0.005769127,0.004835889,0.006865187
East Asia & Pacific - WB,2015,50-69 years,Both,Cirrhosis and other chronic liver diseases due to other causes,Percent of total DALYs,0.003489334,0.00295497,0.004173589
East Asia & Pacific - WB,2015,50-69 years,Both,Peptic ulcer disease,Percent of total DALYs,0.004584341,0.004242544,0.005076195
East Asia & Pacific - WB,2015,50-69 years,Both,Gastritis and duodenitis,Percent of total DALYs,0.004765316,0.003783679,0.006006765
East Asia & Pacific - WB,2015,50-69 years,Both,Appendicitis,Percent of total DALYs,0.00032653,0.000275371,0.000394455
East Asia & Pacific - WB,2015,50-69 years,Both,Paralytic ileus and intestinal obstruction,Percent of total DALYs,0.001413591,0.001175444,0.001792055
East Asia & Pacific - WB,2015,50-69 years,Both,"Inguinal, femoral, and abdominal hernia",Percent of total DALYs,0.00039006,0.000276614,0.000502746
East Asia & Pacific - WB,2015,50-69 years,Both,Inflammatory bowel disease,Percent of total DALYs,0.001295733,0.001062512,0.001566136
East Asia & Pacific - WB,2015,50-69 years,Both,Vascular intestinal disorders,Percent of total DALYs,0.000497089,0.000440914,0.000570144
East Asia & Pacific - WB,2015,50-69 years,Both,Gallbladder and biliary diseases,Percent of total DALYs,0.001397426,0.001247386,0.001593172
East Asia & Pacific - WB,2015,50-69 years,Both,Pancreatitis,Percent of total DALYs,0.001320509,0.001155487,0.00152522
East Asia & Pacific - WB,2015,50-69 years,Both,Other digestive diseases,Percent of total DALYs,0.002202714,0.001835122,0.002790137
East Asia & Pacific - WB,2015,50-69 years,Both,Alzheimer disease and other dementias,Percent of total DALYs,0.008197328,0.006239554,0.010152106
East Asia & Pacific - WB,2015,50-69 years,Both,Parkinson disease,Percent of total DALYs,0.001084533,0.000951584,0.001234084
East Asia & Pacific - WB,2015,50-69 years,Both,Epilepsy,Percent of total DALYs,0.002150601,0.001821012,0.002542593
East Asia & Pacific - WB,2015,50-69 years,Both,Multiple sclerosis,Percent of total DALYs,0.000280013,0.000245661,0.000316008
East Asia & Pacific - WB,2015,50-69 years,Both,Migraine,Percent of total DALYs,0.008679613,0.005347274,0.012879508
East Asia & Pacific - WB,2015,50-69 years,Both,Tension-type headache,Percent of total DALYs,0.000725745,0.000349533,0.001268905
East Asia & Pacific - WB,2015,50-69 years,Both,Medication overuse headache,Percent of total DALYs,0.002967416,0.002010394,0.004172846
East Asia & Pacific - WB,2015,50-69 years,Both,Motor neuron disease,Percent of total DALYs,0.000481039,0.000431496,0.000531856
East Asia & Pacific - WB,2015,50-69 years,Both,Other neurological disorders,Percent of total DALYs,0.000731973,0.000676797,0.000784741
East Asia & Pacific - WB,2015,50-69 years,Both,Schizophrenia,Percent of total DALYs,0.009831372,0.007518317,0.012094864
East Asia & Pacific - WB,2015,50-69 years,Both,Alcohol use disorders,Percent of total DALYs,0.003682184,0.003194863,0.004257845
East Asia & Pacific - WB,2015,50-69 years,Both,Drug use disorders,Percent of total DALYs,0.003455718,0.002870786,0.004001375
East Asia & Pacific - WB,2015,50-69 years,Both,Depressive disorders,Percent of total DALYs,0.022045793,0.016096491,0.028999244
East Asia & Pacific - WB,2015,50-69 years,Both,Bipolar disorder,Percent of total DALYs,0.002423153,0.001537349,0.003515483
East Asia & Pacific - WB,2015,50-69 years,Both,Anxiety disorders,Percent of total DALYs,0.00715874,0.004961457,0.009911023
East Asia & Pacific - WB,2015,50-69 years,Both,Eating disorders,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,50-69 years,Both,Autistic spectrum disorders,Percent of total DALYs,0.002766868,0.00203691,0.003568623
East Asia & Pacific - WB,2015,50-69 years,Both,Attention-deficit/hyperactivity disorder,Percent of total DALYs,3.40E-07,1.44E-07,6.64E-07
East Asia & Pacific - WB,2015,50-69 years,Both,Conduct disorder,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,50-69 years,Both,Idiopathic developmental intellectual disability,Percent of total DALYs,0.000708889,0.000336751,0.001153477
East Asia & Pacific - WB,2015,50-69 years,Both,Other mental and substance use disorders,Percent of total DALYs,0.004142898,0.003132801,0.005296399
East Asia & Pacific - WB,2015,50-69 years,Both,Diabetes mellitus,Percent of total DALYs,0.046012319,0.040949668,0.051627777
East Asia & Pacific - WB,2015,50-69 years,Both,Acute glomerulonephritis,Percent of total DALYs,0.000361929,0.000209724,0.000431714
East Asia & Pacific - WB,2015,50-69 years,Both,Chronic kidney disease,Percent of total DALYs,0.019285283,0.017453335,0.020890478
East Asia & Pacific - WB,2015,50-69 years,Both,Urinary diseases and male infertility,Percent of total DALYs,0.006869982,0.005359502,0.00866662
East Asia & Pacific - WB,2015,50-69 years,Both,Gynecological diseases,Percent of total DALYs,0.001864487,0.001306293,0.002643991
East Asia & Pacific - WB,2015,50-69 years,Both,Hemoglobinopathies and hemolytic anemias,Percent of total DALYs,0.002908799,0.002422774,0.003525548
East Asia & Pacific - WB,2015,50-69 years,Both,"Endocrine, metabolic, blood, and immune disorders",Percent of total DALYs,0.001394882,0.001308444,0.001494243
East Asia & Pacific - WB,2015,50-69 years,Both,Rheumatoid arthritis,Percent of total DALYs,0.004759361,0.003663777,0.005952122
East Asia & Pacific - WB,2015,50-69 years,Both,Osteoarthritis,Percent of total DALYs,0.013917964,0.010561596,0.017627675
East Asia & Pacific - WB,2015,50-69 years,Both,Low back and neck pain,Percent of total DALYs,0.055715892,0.042504065,0.0709479
East Asia & Pacific - WB,2015,50-69 years,Both,Gout,Percent of total DALYs,0.001218343,0.000847722,0.001639702
East Asia & Pacific - WB,2015,50-69 years,Both,Other musculoskeletal disorders,Percent of total DALYs,0.018439709,0.012825875,0.024763219
East Asia & Pacific - WB,2015,50-69 years,Both,Congenital anomalies,Percent of total DALYs,0.002880361,0.001955485,0.004149295
East Asia & Pacific - WB,2015,50-69 years,Both,Skin and subcutaneous diseases,Percent of total DALYs,0.013169226,0.009517335,0.018109527
East Asia & Pacific - WB,2015,50-69 years,Both,Sense organ diseases,Percent of total DALYs,0.044402482,0.031893445,0.059644597
East Asia & Pacific - WB,2015,50-69 years,Both,Oral disorders,Percent of total DALYs,0.009441938,0.006232699,0.013468125
East Asia & Pacific - WB,2015,50-69 years,Both,Sudden infant death syndrome,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,50-69 years,Both,Road injuries,Percent of total DALYs,0.023803656,0.021967817,0.025388672
East Asia & Pacific - WB,2015,50-69 years,Both,Other transport injuries,Percent of total DALYs,0.00131065,0.001172004,0.001502877
East Asia & Pacific - WB,2015,50-69 years,Both,Falls,Percent of total DALYs,0.011298539,0.009513602,0.012370683
East Asia & Pacific - WB,2015,50-69 years,Both,Drowning,Percent of total DALYs,0.002755108,0.002460663,0.003072125
East Asia & Pacific - WB,2015,50-69 years,Both,"Fire, heat, and hot substances",Percent of total DALYs,0.001097226,0.000919895,0.001253639
East Asia & Pacific - WB,2015,50-69 years,Both,Poisonings,Percent of total DALYs,0.001310282,0.000873639,0.001505091
East Asia & Pacific - WB,2015,50-69 years,Both,Exposure to mechanical forces,Percent of total DALYs,0.002929918,0.00199528,0.003377964
East Asia & Pacific - WB,2015,50-69 years,Both,Adverse effects of medical treatment,Percent of total DALYs,0.000992937,0.00084129,0.001154781
East Asia & Pacific - WB,2015,50-69 years,Both,Animal contact,Percent of total DALYs,0.000407978,0.000328447,0.000460035
East Asia & Pacific - WB,2015,50-69 years,Both,Foreign body,Percent of total DALYs,0.001079412,0.00095911,0.001166233
East Asia & Pacific - WB,2015,50-69 years,Both,Other unintentional injuries,Percent of total DALYs,0.003646303,0.003067871,0.004370879
East Asia & Pacific - WB,2015,50-69 years,Both,Self-harm,Percent of total DALYs,0.011444047,0.010100689,0.012894684
East Asia & Pacific - WB,2015,50-69 years,Both,Interpersonal violence,Percent of total DALYs,0.001929327,0.001774079,0.002168412
East Asia & Pacific - WB,2015,50-69 years,Both,Exposure to forces of nature,Percent of total DALYs,0.000318254,0.000158908,0.000510383
East Asia & Pacific - WB,2015,50-69 years,Both,Collective violence and legal intervention,Percent of total DALYs,0.000137269,0.000093268,0.000191516
East Asia & Pacific - WB,2015,50-69 years,Both,Maternal deaths aggravated by HIV/AIDS,Percent of total DALYs,1.32E-08,4.42E-09,3.97E-08
East Asia & Pacific - WB,2015,50-69 years,Both,Environmental heat and cold exposure,Percent of total DALYs,0.001224149,0.000989528,0.001495506
East Asia & Pacific - WB,2015,50-69 years,Both,Ebola,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Tuberculosis,Percent of total DALYs,0.009604803,0.008190754,0.012844174
East Asia & Pacific - WB,2015,70+ years,Both,HIV/AIDS,Percent of total DALYs,0.000473545,0.000368583,0.00068477
East Asia & Pacific - WB,2015,70+ years,Both,Diarrheal diseases,Percent of total DALYs,0.004385714,0.003786731,0.005076049
East Asia & Pacific - WB,2015,70+ years,Both,Intestinal infectious diseases,Percent of total DALYs,7.38422E-05,0.000043444,0.000115132
East Asia & Pacific - WB,2015,70+ years,Both,Lower respiratory infections,Percent of total DALYs,0.032697702,0.029377484,0.035923109
East Asia & Pacific - WB,2015,70+ years,Both,Upper respiratory infections,Percent of total DALYs,0.000275792,0.000169765,0.000439438
East Asia & Pacific - WB,2015,70+ years,Both,Otitis media,Percent of total DALYs,0.000178902,0.000114407,0.000264678
East Asia & Pacific - WB,2015,70+ years,Both,Meningitis,Percent of total DALYs,0.000497189,0.000446145,0.000562297
East Asia & Pacific - WB,2015,70+ years,Both,Encephalitis,Percent of total DALYs,0.000198367,0.000179357,0.000217905
East Asia & Pacific - WB,2015,70+ years,Both,Diphtheria,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Whooping cough,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Tetanus,Percent of total DALYs,0.000123345,8.52669E-05,0.000182751
East Asia & Pacific - WB,2015,70+ years,Both,Measles,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Varicella and herpes zoster,Percent of total DALYs,0.000127159,9.08094E-05,0.000170158
East Asia & Pacific - WB,2015,70+ years,Both,Malaria,Percent of total DALYs,0.00011759,8.84207E-05,0.000152576
East Asia & Pacific - WB,2015,70+ years,Both,Chagas disease,Percent of total DALYs,2.04E-07,1.33E-07,2.91E-07
East Asia & Pacific - WB,2015,70+ years,Both,Leishmaniasis,Percent of total DALYs,4.66153E-06,3.32793E-06,6.83898E-06
East Asia & Pacific - WB,2015,70+ years,Both,African trypanosomiasis,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Schistosomiasis,Percent of total DALYs,3.85888E-05,2.62148E-05,0.000056363
East Asia & Pacific - WB,2015,70+ years,Both,Cysticercosis,Percent of total DALYs,2.36777E-05,1.64158E-05,3.37111E-05
East Asia & Pacific - WB,2015,70+ years,Both,Cystic echinococcosis,Percent of total DALYs,2.96377E-05,2.35866E-05,3.59399E-05
East Asia & Pacific - WB,2015,70+ years,Both,Lymphatic filariasis,Percent of total DALYs,0.00019172,0.000110949,0.000302532
East Asia & Pacific - WB,2015,70+ years,Both,Onchocerciasis,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Trachoma,Percent of total DALYs,0.000122693,8.74113E-05,0.000168598
East Asia & Pacific - WB,2015,70+ years,Both,Dengue,Percent of total DALYs,0.000166018,9.09956E-05,0.00039141
East Asia & Pacific - WB,2015,70+ years,Both,Yellow fever,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Rabies,Percent of total DALYs,2.35256E-05,0.000018018,3.06591E-05
East Asia & Pacific - WB,2015,70+ years,Both,Intestinal nematode infections,Percent of total DALYs,0.00033236,0.000194453,0.00051571
East Asia & Pacific - WB,2015,70+ years,Both,Food-borne trematodiases,Percent of total DALYs,0.00051223,0.000236586,0.000913584
East Asia & Pacific - WB,2015,70+ years,Both,Other neglected tropical diseases,Percent of total DALYs,4.57106E-05,3.38079E-05,7.79685E-05
East Asia & Pacific - WB,2015,70+ years,Both,Maternal hemorrhage,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Maternal sepsis and other maternal infections,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Maternal hypertensive disorders,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Maternal obstructed labor and uterine rupture,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,"Maternal abortion, miscarriage, and ectopic pregnancy",Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Indirect maternal deaths,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Late maternal deaths,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Other maternal disorders,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Neonatal preterm birth complications,Percent of total DALYs,0.000234487,0.000188971,0.000286536
East Asia & Pacific - WB,2015,70+ years,Both,Neonatal encephalopathy due to birth asphyxia and trauma,Percent of total DALYs,8.99974E-05,5.92415E-05,0.000133661
East Asia & Pacific - WB,2015,70+ years,Both,Neonatal sepsis and other neonatal infections,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,70+ years,Both,Hemolytic disease and other neonatal jaundice,Percent of total DALYs,1.93476E-05,1.46012E-05,2.42678E-05
East Asia & Pacific - WB,2015,70+ years,Both,Other neonatal disorders,Percent of total DALYs,5.37703E-05,3.97438E-05,6.91137E-05
East Asia & Pacific - WB,2015,70+ years,Both,Protein-energy malnutrition,Percent of total DALYs,0.00205425,0.001596179,0.002414427
East Asia & Pacific - WB,2015,70+ years,Both,Iodine deficiency,Percent of total DALYs,0.000215538,0.000142946,0.000317488
East Asia & Pacific - WB,2015,70+ years,Both,Vitamin A deficiency,Percent of total DALYs,1.19863E-05,7.41604E-06,1.74822E-05
East Asia & Pacific - WB,2015,70+ years,Both,Iron-deficiency anemia,Percent of total DALYs,0.001106304,0.000794128,0.001507179
East Asia & Pacific - WB,2015,70+ years,Both,Other nutritional deficiencies,Percent of total DALYs,0.000255935,0.000192669,0.000297251
East Asia & Pacific - WB,2015,70+ years,Both,Sexually transmitted diseases excluding HIV,Percent of total DALYs,0.000110576,7.24056E-05,0.000179313
East Asia & Pacific - WB,2015,70+ years,Both,Hepatitis,Percent of total DALYs,0.000519889,0.000479074,0.000570165
East Asia & Pacific - WB,2015,70+ years,Both,Leprosy,Percent of total DALYs,1.07134E-05,7.68137E-06,1.40832E-05
East Asia & Pacific - WB,2015,70+ years,Both,Other infectious diseases,Percent of total DALYs,0.000530696,0.000338455,0.000647562
East Asia & Pacific - WB,2015,70+ years,Both,Esophageal cancer,Percent of total DALYs,0.011300722,0.010355718,0.012276433
East Asia & Pacific - WB,2015,70+ years,Both,Stomach cancer,Percent of total DALYs,0.022447211,0.020847955,0.023898646
East Asia & Pacific - WB,2015,70+ years,Both,Liver cancer,Percent of total DALYs,0.018138281,0.016186613,0.01984271
East Asia & Pacific - WB,2015,70+ years,Both,Larynx cancer,Percent of total DALYs,0.001305819,0.001210059,0.001396834
East Asia & Pacific - WB,2015,70+ years,Both,"Tracheal, bronchus, and lung cancer",Percent of total DALYs,0.039120732,0.036259105,0.041855093
East Asia & Pacific - WB,2015,70+ years,Both,Breast cancer,Percent of total DALYs,0.004375903,0.003895035,0.004644818
East Asia & Pacific - WB,2015,70+ years,Both,Cervical cancer,Percent of total DALYs,0.001784195,0.001632896,0.001934884
East Asia & Pacific - WB,2015,70+ years,Both,Uterine cancer,Percent of total DALYs,0.000951765,0.000882475,0.001033292
East Asia & Pacific - WB,2015,70+ years,Both,Prostate cancer,Percent of total DALYs,0.006321422,0.005025141,0.007543382
East Asia & Pacific - WB,2015,70+ years,Both,Colon and rectum cancer,Percent of total DALYs,0.015525516,0.014507474,0.016483641
East Asia & Pacific - WB,2015,70+ years,Both,Lip and oral cavity cancer,Percent of total DALYs,0.001804529,0.001685817,0.0019182
East Asia & Pacific - WB,2015,70+ years,Both,Nasopharynx cancer,Percent of total DALYs,0.00102319,0.00076698,0.001132649
East Asia & Pacific - WB,2015,70+ years,Both,Other pharynx cancer,Percent of total DALYs,0.000549651,0.000499285,0.000597729
East Asia & Pacific - WB,2015,70+ years,Both,Gallbladder and biliary tract cancer,Percent of total DALYs,0.003369507,0.003054692,0.003680531
East Asia & Pacific - WB,2015,70+ years,Both,Pancreatic cancer,Percent of total DALYs,0.006577991,0.006108571,0.007026059
East Asia & Pacific - WB,2015,70+ years,Both,Malignant skin melanoma,Percent of total DALYs,0.000441158,0.000379747,0.00051362
